id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
3,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
3,0.2790636,Talking,Avert,Anger,0.1971027,1.377712,1.834068,342.6202,270.9419,1.483729,183.3109,0,0.02,-1.573,0,0,0,3.310935,3.67292,3.412764,False
3,0.5387617,Talking,Avert,Anger,0.2887039,1.362809,1.818566,338.4923,287.7667,352.4577,184.8655,0,0.02,-1.573,0,0,0,4.865521,3.659127,3.403832,False
3,0.7917569,Talking,Avert,Anger,0.3540856,1.36999,1.785563,345.3612,295.2655,341.7034,186.0183,0,0.02,-1.573,0,0,0,6.01833,3.637004,3.377177,False
3,1.046244,Talking,Avert,Anger,0.3636138,1.427284,1.758254,6.364464,308.0545,346.4784,186.2293,0,0.02,-1.573,0,0,0,6.2293,3.634545,3.35104,False
3,1.304983,Talking,Avert,Anger,0.346632,1.483564,1.738133,36.62212,320.3213,342.601,185.9763,0,0.02,-1.573,0,0,0,5.976346,3.636725,3.329227,False
3,1.569328,Talking,Avert,Anger,0.3344328,1.517802,1.669932,50.04504,342.3565,340.1596,185.8879,0,0.02,-1.573,0,0,0,5.887909,3.587738,3.260131,False
3,1.823312,Talking,Avert,Anger,0.3250546,1.552108,1.591051,35.75812,3.488799,354.1506,185.8656,0,0.02,-1.573,0,0,0,5.865629,3.530472,3.180704,False
3,2.087558,Talking,Avert,Anger,0.3126613,1.560535,1.556638,25.93405,10.30367,357.0853,185.7051,0,0.02,-1.573,0,0,0,5.705109,3.502234,3.145217,False
3,2.337891,Talking,Avert,Anger,0.3088476,1.562639,1.556403,22.43188,12.42952,358.825,185.6364,0,0.02,-1.573,0,0,0,5.636393,3.502611,3.144606,False
3,2.589622,Talking,Avert,Anger,0.3055995,1.563727,1.565848,21.05974,11.29638,359.0727,185.5608,0,0.02,-1.573,0,0,0,5.560813,3.511246,3.153689,False
3,2.856743,Talking,Avert,Anger,0.3054735,1.566333,1.577165,22.41356,8.751054,358.8255,185.5387,0,0.02,-1.573,0,0,0,5.538692,3.522499,3.164941,False
3,3.122669,Talking,Avert,Anger,0.3121336,1.586981,1.694433,31.04392,345.4663,356.2748,185.4568,0,0.02,-1.573,0,0,0,5.456832,3.637166,3.282308,False
3,3.382947,Talking,Avert,Anger,0.3019492,1.478214,1.771496,5.939277,307.5187,355.4763,185.1588,0,0.02,-1.573,0,0,0,5.158814,3.66104,3.358099,False
