id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
18,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
18,0.2538105,Talking,Follow,Surprise,0.1038663,1.17081,1.814035,9.351904,154.5799,354.9348,181.7565,0,0.02,-1.573,0,0,0,1.756474,3.578709,3.388627,False
18,0.5086139,Talking,Follow,Surprise,0.1742068,1.122618,1.848936,31.80503,152.264,341.5725,182.9143,0,0.02,-1.573,0,0,0,2.914346,3.599411,3.426368,False
18,0.7754024,Talking,Follow,Surprise,0.1707024,1.110567,1.831997,40.75653,170.5436,356.256,182.87,0,0.02,-1.573,0,0,0,2.870002,3.579453,3.409273,False
18,1.025514,Talking,Follow,Surprise,0.1841135,1.142146,1.803583,40.46672,176.8311,357.6959,183.121,0,0.02,-1.573,0,0,0,3.121053,3.562923,3.381598,False
18,1.303916,Talking,Follow,Surprise,0.2209672,1.164535,1.800468,30.58647,178.6002,358.0232,183.7476,0,0.02,-1.573,0,0,0,3.747606,3.569184,3.380697,False
18,1.554179,Talking,Follow,Surprise,0.2190617,1.165141,1.820534,22.56079,175.8196,348.5593,183.6935,0,0.02,-1.573,0,0,0,3.693472,3.588232,3.400597,False
18,1.806503,Talking,Follow,Surprise,0.217362,1.183424,1.78238,23.47649,175.3411,352.2004,183.7065,0,0.02,-1.573,0,0,0,3.70645,3.558002,3.362413,False
18,2.056563,Talking,Follow,Surprise,0.2325133,1.204078,1.742114,30.78762,176.2102,0.2265916,184.012,0,0.02,-1.573,0,0,0,4.012003,3.527901,3.323258,False
18,2.333524,Talking,Follow,Surprise,0.2770797,1.220101,1.687648,35.51753,173.1817,8.743837,184.8571,0,0.02,-1.573,0,0,0,4.857148,3.485519,3.272399,False
18,2.585152,Talking,Follow,Surprise,0.330202,1.261865,1.668383,39.85001,176.0993,18.2917,185.8167,0,0.02,-1.573,0,0,0,5.816696,3.486807,3.258158,False
18,2.862268,Talking,Follow,Surprise,0.3643236,1.306814,1.686191,41.25375,169.4346,21.42714,186.3782,0,0.02,-1.573,0,0,0,6.378242,3.522917,3.27949,False
18,3.113293,Talking,Follow,Surprise,0.3565505,1.313289,1.727512,41.89412,164.2992,20.13693,186.1657,0,0.02,-1.573,0,0,0,6.165689,3.562737,3.319715,False
18,3.391338,Talking,Follow,Surprise,0.3161224,1.337911,1.766978,39.37851,167.3088,22.00036,185.4068,0,0.02,-1.573,0,0,0,5.406826,3.60448,3.354905,False
18,3.642905,Talking,Follow,Surprise,0.2995661,1.370651,1.755187,39.6714,175.1891,26.61852,185.1433,0,0.02,-1.573,0,0,0,5.143265,3.604279,3.341641,False
18,3.89407,Talking,Follow,Surprise,0.3169489,1.395024,1.691332,37.57594,177.186,25.66211,185.5457,0,0.02,-1.573,0,0,0,5.545725,3.556264,3.279683,False
18,4.170905,Talking,Follow,Surprise,0.3768654,1.424616,1.576012,31.38765,172.7349,16.96443,186.8245,0,0.02,-1.573,0,0,0,6.824548,3.468609,3.171483,False
18,4.422179,Talking,Follow,Surprise,0.416176,1.451079,1.484889,27.62573,166.4463,8.848138,187.7503,0,0.02,-1.573,0,0,0,7.750288,3.401746,3.08608,False
18,4.672906,Talking,Follow,Surprise,0.432514,1.455836,1.364028,26.54561,156.3799,3.846803,188.3773,0,0.02,-1.573,0,0,0,8.377307,3.2977,2.968704,False
18,4.950903,Talking,Follow,Surprise,0.4165284,1.502021,1.195151,15.97231,145.6727,8.043797,188.5572,0,0.02,-1.573,0,0,0,8.557195,3.167419,2.799314,False
18,5.214712,Talking,Follow,Surprise,0.4212609,1.494444,1.059707,18.0111,143.0059,7.281128,189.0909,0,0.02,-1.573,0,0,0,9.090867,3.046735,2.666197,False
18,5.464794,Talking,Follow,Surprise,0.4604909,1.447218,0.9151465,24.11495,143.337,7.743829,190.4853,0,0.02,-1.573,0,0,0,10.48531,2.905146,2.5304,False
18,5.716509,Talking,Follow,Surprise,0.5229132,1.432444,0.7579919,29.82304,148.2466,9.21702,192.6439,0,0.02,-1.573,0,0,0,12.64388,2.775241,2.388925,False
18,5.99332,Talking,Follow,Surprise,0.5942242,1.43638,0.640028,31.7085,134.5384,10.27478,195.0301,0,0.02,-1.573,0,0,0,15.03008,2.693831,2.291418,False
18,6.25713,Talking,Follow,Surprise,0.5973885,1.433313,0.5943464,32.79669,101.6866,4.480851,195.4099,0,0.02,-1.573,0,0,0,15.40987,2.655507,2.248169,False
18,6.514259,Talking,Follow,Surprise,0.5042071,1.467107,0.569483,28.52315,72.10065,0.003788722,193.2429,0,0.02,-1.573,0,0,0,13.24289,2.634118,2.201013,False
18,6.780335,Talking,Follow,Surprise,0.4152964,1.477505,0.5801717,22.12571,52.79229,358.5226,190.917,0,0.02,-1.573,0,0,0,10.91696,2.633048,2.192856,False
18,7.041789,Talking,Follow,Surprise,0.3774851,1.487591,0.593227,24.16666,45.45079,357.3119,189.8851,0,0.02,-1.573,0,0,0,9.88506,2.643645,2.198871,False
18,7.303684,Talking,Follow,Surprise,0.3582769,1.49929,0.5724308,17.49317,47.2004,1.121494,189.4806,0,0.02,-1.573,0,0,0,9.480642,2.630501,2.17514,False
18,7.558603,Talking,Follow,Surprise,0.3672729,1.510934,0.5444168,13.8206,44.65955,1.285722,189.8402,0,0.02,-1.573,0,0,0,9.840237,2.615574,2.149033,False
18,7.81008,Talking,Follow,Surprise,0.3687846,1.517929,0.533596,11.33457,47.4767,0.7169649,189.9297,0,0.02,-1.573,0,0,0,9.929684,2.611042,2.138632,False
18,8.07498,Talking,Follow,Surprise,0.3789064,1.518221,0.5374327,12.3129,48.15025,359.6314,190.1784,0,0.02,-1.573,0,0,0,10.17842,2.615753,2.144177,False
18,8.338759,Talking,Follow,Surprise,0.3826525,1.519841,0.546901,12.42071,47.54078,359.5729,190.232,0,0.02,-1.573,0,0,0,10.23199,2.624867,2.154159,False
18,8.60631,Talking,Follow,Surprise,0.3757993,1.518536,0.5539235,12.28314,46.89537,0.2087954,190.02,0,0.02,-1.573,0,0,0,10.01999,2.62881,2.159868,False
18,8.88019,Talking,Follow,Surprise,0.005146425,1.518506,1.806133,12.11355,179.6933,0.130892,180.0872,0,0.02,-1.573,0,0,0,0.08726151,3.696496,3.379137,False
18,9.15596,Talking,Follow,Surprise,0.006392057,1.517369,1.810836,9.773624,180.0307,359.2377,180.1082,0,0.02,-1.573,0,0,0,0.1082314,3.700338,3.383842,False
18,9.414304,Talking,Follow,Surprise,0.01259914,1.560892,1.771011,356.9638,174.8745,358.8071,180.2159,0,0.02,-1.573,0,0,0,0.2158708,3.681972,3.344034,False
18,9.687415,Talking,Follow,Surprise,0.01972893,1.574443,1.771607,353.3517,174.1582,1.345662,180.338,0,0.02,-1.573,0,0,0,0.3379683,3.688235,3.344665,False
18,9.959082,Talking,Follow,Surprise,0.0273249,1.571272,1.779193,357.1349,177.3107,1.994619,180.467,0,0.02,-1.573,0,0,0,0.4670276,3.693832,3.352305,False
18,10.22828,Talking,Follow,Surprise,0.02801141,1.539845,1.788888,1.060533,178.0424,0.6669071,180.4774,0,0.02,-1.573,0,0,0,0.4773801,3.689581,3.362005,False
18,10.48086,Talking,Follow,Surprise,0.02200729,1.525003,1.803241,5.631068,179.9475,2.268682,180.3735,0,0.02,-1.573,0,0,0,0.3734649,3.696555,3.376312,False
18,10.75894,Talking,Follow,Surprise,0.01419847,1.51658,1.815998,10.41567,181.4137,358.9035,180.2401,0,0.02,-1.573,0,0,0,0.2400436,3.704762,3.389028,False
18,11.01079,Talking,Follow,Surprise,0.0139487,1.518634,1.822184,12.91567,181.2344,358.9169,180.2354,0,0.02,-1.573,0,0,0,0.2353913,3.71125,3.395213,False
18,11.289,Talking,Follow,Surprise,0.01267901,1.518698,1.827322,12.1965,182.2628,358.302,180.2136,0,0.02,-1.573,0,0,0,0.2136417,3.715972,3.400346,False
18,11.54067,Talking,Follow,Surprise,0.0111262,1.518485,1.831024,12.48524,183.1021,357.8832,180.1873,0,0.02,-1.573,0,0,0,0.1872731,3.719268,3.404042,False
18,11.81743,Talking,Follow,Surprise,0.01123296,1.517908,1.834249,12.18992,183.0901,357.7627,180.1889,0,0.02,-1.573,0,0,0,0.188891,3.721989,3.407267,False
18,12.09474,Talking,Follow,Surprise,0.0009983717,1.518989,1.800804,11.79812,179.9683,357.919,180.017,0,0.02,-1.573,0,0,0,0.0169549,3.691818,3.373804,False
18,12.3469,Talking,Follow,Surprise,0.003349588,1.518388,1.801209,11.71862,179.647,358.2602,180.0569,0,0.02,-1.573,0,0,0,0.05687767,3.691946,3.374211,False
18,12.62679,Talking,Follow,Surprise,0.002808823,1.518781,1.796819,10.9312,179.4428,358.0883,180.0477,0,0.02,-1.573,0,0,0,0.04775737,3.688093,3.36982,False
18,12.88922,Talking,Follow,Surprise,0.00777915,1.586015,1.762467,350.5105,175.8244,5.359027,180.1336,0,0.02,-1.573,0,0,0,0.133628,3.684808,3.335476,False
18,13.14084,Talking,Follow,Surprise,0.001608216,1.562668,1.764192,356.6442,175.5879,2.630705,180.0276,0,0.02,-1.573,0,0,0,0.02761123,3.676504,3.337193,False
18,13.41807,Talking,Follow,Surprise,-0.004738787,1.504917,1.78244,13.53795,176.6421,359.3963,179.9191,0,0.02,-1.573,0,0,0,359.9191,3.66933,3.355444,False
18,13.66869,Talking,Follow,Surprise,-0.005904698,1.507043,1.78028,11.98374,176.5387,358.465,179.8991,0,0.02,-1.573,0,0,0,359.8991,3.668218,3.353286,False
18,13.91891,Talking,Follow,Surprise,0.004289156,1.572938,1.755898,352.8073,172.7642,2.22451,180.0738,0,0.02,-1.573,0,0,0,0.07382337,3.673308,3.3289,False
18,14.18151,Talking,Follow,Surprise,-0.005715987,1.521247,1.774205,6.693121,174.04,357.9351,179.9022,0,0.02,-1.573,0,0,0,359.9022,3.668454,3.34721,False
18,14.43345,Talking,Follow,Surprise,-0.006833224,1.505132,1.785429,10.98884,174.4412,359.5697,179.8834,0,0.02,-1.573,0,0,0,359.8834,3.672153,3.358436,False
18,14.68406,Talking,Follow,Surprise,-0.001448044,1.529224,1.76399,2.96164,173.3958,359.3062,179.9751,0,0.02,-1.573,0,0,0,359.9751,3.662412,3.33699,False
18,14.93654,Talking,Follow,Surprise,0.002203993,1.55005,1.742548,357.5821,172.1801,0.2850012,180.0381,0,0.02,-1.573,0,0,0,0.03808706,3.651563,3.315549,False
18,15.1999,Talking,Follow,Surprise,-0.01394295,1.491436,1.744252,13.93071,180.7864,357.0535,179.7592,0,0.02,-1.573,0,0,0,359.7592,3.628978,3.317281,False
18,15.45095,Talking,Follow,Surprise,-0.02096141,1.48603,1.720646,15.76232,188.5573,357.0138,179.6354,0,0.02,-1.573,0,0,0,359.6354,3.605244,3.293712,False
18,15.72774,Talking,Follow,Surprise,-0.03512593,1.530323,1.663274,1.508524,192.7411,0.8236051,179.3781,0,0.02,-1.573,0,0,0,359.3781,3.571523,3.236465,False
18,15.98068,Talking,Follow,Surprise,-0.04182638,1.492266,1.635458,12.17259,199.1724,356.5576,179.2531,0,0.02,-1.573,0,0,0,359.2531,3.530371,3.208731,False
18,16.2446,Talking,Follow,Surprise,-0.07919502,1.455766,1.545366,20.48357,202.7156,356.2742,178.5452,0,0.02,-1.573,0,0,0,358.5452,3.433933,3.119371,False
18,16.52149,Talking,Follow,Surprise,-0.2108015,1.487066,1.34834,5.568834,198.8277,0.1444731,175.8727,0,0.02,-1.573,0,0,0,355.8727,3.275812,2.928935,False
18,16.77428,Talking,Follow,Surprise,-0.3253707,1.528526,1.17341,1.41194,199.8977,0.6525303,173.2436,0,0.02,-1.573,0,0,0,353.2436,3.150283,2.765616,False
18,17.02797,Talking,Follow,Surprise,-0.4216421,1.482636,0.9376563,4.548018,202.6833,3.045253,170.4667,0,0.02,-1.573,0,0,0,350.4666,2.936066,2.545816,False
18,17.28662,Talking,Follow,Surprise,-0.5359243,1.481519,0.6836287,11.1307,211.6373,1.204477,166.6404,0,0.02,-1.573,0,0,0,346.6404,2.741464,2.319394,False
18,17.53722,Talking,Follow,Surprise,-0.6784877,1.429853,0.505005,29.19559,216.9311,358.9828,161.9177,0,0.02,-1.573,0,0,0,341.9177,2.601179,2.185966,False
18,17.79362,Talking,Follow,Surprise,-0.8820497,1.388607,0.3336072,37.38229,218.6486,355.2304,155.1734,0,0.02,-1.573,0,0,0,335.1734,2.507239,2.100753,False
18,18.05841,Talking,Follow,Surprise,-1.067412,1.42497,0.1373773,27.44758,218.8163,357.2808,148.0325,0,0.02,-1.573,0,0,0,328.0325,2.457376,2.016125,False
18,18.30931,Talking,Follow,Surprise,-1.204358,1.417188,-0.07311881,20.80341,218.4216,0.003693,141.2366,0,0.02,-1.573,0,0,0,321.2366,2.377447,1.92357,False
18,18.5673,Talking,Follow,Surprise,-1.33305,1.433601,-0.2618532,25.33072,221.8846,1.271803,134.5254,0,0.02,-1.573,0,0,0,314.5254,2.344013,1.869793,False
18,18.82669,Talking,Follow,Surprise,-1.437275,1.398155,-0.3794563,38.70231,220.3362,357.4286,129.707,0,0.02,-1.573,0,0,0,309.707,2.321555,1.868236,False
18,19.08331,Talking,Follow,Surprise,-1.562123,1.36998,-0.4704721,47.67122,215.3187,356.0248,125.214,0,0.02,-1.573,0,0,0,305.214,2.340565,1.912014,False
18,19.3411,Talking,Follow,Surprise,-1.642913,1.374601,-0.5796928,50.70002,207.2692,354.9527,121.1572,0,0.02,-1.573,0,0,0,301.1572,2.349631,1.919849,False
18,19.60457,Talking,Follow,Surprise,-1.662701,1.372431,-0.7069235,50.21089,199.6186,354.583,117.5143,0,0.02,-1.573,0,0,0,297.5143,2.311652,1.874744,False
18,19.86808,Talking,Follow,Surprise,-1.615741,1.381649,-0.8906686,38.5875,194.2125,356.0222,112.8944,0,0.02,-1.573,0,0,0,292.8944,2.220424,1.753909,False
18,20.12282,Talking,Follow,Surprise,-1.559194,1.426761,-1.090063,32.10002,189.0258,355.7026,107.2096,0,0.02,-1.573,0,0,0,287.2096,2.15483,1.632273,False
18,20.38911,Talking,Follow,Surprise,-1.557379,1.390657,-1.212946,45.79803,191.6055,355.071,103.0176,0,0.02,-1.573,0,0,0,283.0176,2.105652,1.598458,False
18,20.65383,Talking,Follow,Surprise,-1.607912,1.364257,-1.376859,50.82012,188.403,353.4527,96.95486,0,0.02,-1.573,0,0,0,276.9548,2.104966,1.619831,False
18,20.90791,Talking,Follow,Surprise,-1.649187,1.379619,-1.533451,52.1087,187.4761,354.6351,91.37375,0,0.02,-1.573,0,0,0,271.3737,2.137743,1.649661,False
18,21.16744,Talking,Follow,Surprise,-1.639481,1.370672,-1.660444,51.20154,189.7413,356.4104,86.94696,0,0.02,-1.573,0,0,0,266.947,2.125996,1.641811,False
18,21.42831,Talking,Follow,Surprise,-1.624429,1.381407,-1.746092,51.20153,195.1817,358.8924,83.91776,0,0.02,-1.573,0,0,0,263.9178,2.126537,1.633625,False
18,21.68539,Talking,Follow,Surprise,-1.646937,1.378971,-1.801524,52.87353,189.4585,358.5938,82.10025,0,0.02,-1.573,0,0,0,262.1003,2.147423,1.662716,False
18,21.95305,Talking,Follow,Surprise,-1.695981,1.381495,-1.827432,52.46569,179.2323,357.4639,81.46809,0,0.02,-1.573,0,0,0,261.4681,2.189693,1.71496,False
18,22.22089,Talking,Follow,Surprise,-1.649324,1.379645,-1.847582,51.15241,172.0147,355.2804,80.54801,0,0.02,-1.573,0,0,0,260.548,2.155063,1.672024,False
18,22.47203,Talking,Follow,Surprise,-1.570852,1.388639,-1.881438,47.82232,174.8919,0.0547758,78.89124,0,0.02,-1.573,0,0,0,258.8912,2.106154,1.600847,False
18,22.73999,Talking,Follow,Surprise,-1.539692,1.39313,-1.979849,46.89767,179.5708,1.578736,75.19843,0,0.02,-1.573,0,0,0,255.1984,2.102776,1.592538,False
18,23.003,Talking,Follow,Surprise,-1.558483,1.379644,-2.133468,45.20832,178.8202,359.7085,70.22021,0,0.02,-1.573,0,0,0,250.2202,2.142808,1.656199,False
18,23.2699,Talking,Follow,Surprise,-1.568452,1.390437,-2.29067,47.04425,178.9925,359.0838,65.41279,0,0.02,-1.573,0,0,0,245.4128,2.202996,1.724846,False
18,23.53308,Talking,Follow,Surprise,-1.550719,1.38981,-2.431262,47.04927,180.0025,359.8933,61.03719,0,0.02,-1.573,0,0,0,241.0372,2.240027,1.772384,False
18,23.7979,Talking,Follow,Surprise,-1.516553,1.393404,-2.578594,47.93732,185.0459,0.5553827,56.45247,0,0.02,-1.573,0,0,0,236.4525,2.279779,1.819657,False
18,24.05368,Talking,Follow,Surprise,-1.495187,1.395209,-2.676365,49.71042,187.9592,0.005587511,53.57475,0,0.02,-1.573,0,0,0,233.5747,2.311752,1.858224,False
18,24.32021,Talking,Follow,Surprise,-1.463068,1.391364,-2.743221,47.99528,184.2357,358.1318,51.34577,0,0.02,-1.573,0,0,0,231.3458,2.321772,1.873496,False
18,24.58516,Talking,Follow,Surprise,-1.429566,1.393568,-2.818727,46.27193,177.3962,357.6941,48.93103,0,0.02,-1.573,0,0,0,228.931,2.341406,1.896179,False
18,24.84396,Talking,Follow,Surprise,-1.413173,1.378451,-2.94433,43.69659,167.1804,356.6995,45.86094,0,0.02,-1.573,0,0,0,225.8609,2.392278,1.969163,False
18,25.1081,Talking,Follow,Surprise,-1.39616,1.410627,-3.11727,38.26278,158.6387,356.2892,42.11645,0,0.02,-1.573,0,0,0,222.1164,2.503573,2.081835,False
18,25.3646,Talking,Follow,Surprise,-1.315749,1.443038,-3.277425,30.26723,145.709,358.3237,37.66674,0,0.02,-1.573,0,0,0,217.6667,2.580949,2.153197,False
18,25.61913,Talking,Follow,Surprise,-1.195916,1.421202,-3.39218,32.10875,143.6364,358.9707,33.32063,0,0.02,-1.573,0,0,0,213.3206,2.589015,2.177069,False
18,25.88046,Talking,Follow,Surprise,-1.088395,1.409035,-3.466388,40.93053,145.7285,354.5169,29.89203,0,0.02,-1.573,0,0,0,209.892,2.588231,2.183923,False
18,26.14146,Talking,Follow,Surprise,-0.9676672,1.394737,-3.576956,43.81481,133.7062,354.7021,25.77489,0,0.02,-1.573,0,0,0,205.7749,2.615745,2.225358,False
18,26.39481,Talking,Follow,Surprise,-0.8627592,1.399033,-3.668944,40.79053,114.4823,352.0275,22.37367,0,0.02,-1.573,0,0,0,202.3737,2.653124,2.266569,False
18,26.65771,Talking,Follow,Surprise,-0.7315748,1.396796,-3.704177,44.10222,98.94672,351.8578,18.94594,0,0.02,-1.573,0,0,0,198.9459,2.640584,2.253246,False
18,26.90794,Talking,Follow,Surprise,-0.5709254,1.382596,-3.662994,44.11424,92.92616,353.4829,15.27877,0,0.02,-1.573,0,0,0,195.2788,2.559433,2.166571,False
18,27.16603,Talking,Follow,Surprise,-0.3651521,1.418399,-3.574954,35.24949,87.91137,355.3503,10.33699,0,0.02,-1.573,0,0,0,190.337,2.469145,2.034983,False
18,27.42966,Talking,Follow,Surprise,-0.1708822,1.433869,-3.540343,30.3464,85.35972,359.2206,4.964218,0,0.02,-1.573,0,0,0,184.9642,2.428716,1.97475,False
18,27.67989,Talking,Follow,Surprise,0.005381235,1.422137,-3.556844,28.46268,82.21918,358.4872,359.8446,0,0.02,-1.573,0,0,0,179.8446,2.429332,1.983851,False
18,27.94431,Talking,Follow,Surprise,0.2052909,1.450112,-3.608596,23.61348,79.81418,358.6886,354.2411,0,0.02,-1.573,0,0,0,174.2412,2.4962,2.045921,False
18,28.20459,Talking,Follow,Surprise,0.3959311,1.442433,-3.606031,22.9843,76.01406,0.1314968,348.9796,0,0.02,-1.573,0,0,0,168.9796,2.512626,2.071225,False
18,28.47526,Talking,Follow,Surprise,0.5547896,1.391892,-3.587212,40.86777,85.17429,354.5063,344.6004,0,0.02,-1.573,0,0,0,164.6004,2.499386,2.089221,False
18,28.74218,Talking,Follow,Surprise,0.7416185,1.408161,-3.568842,43.23183,82.28898,354.6385,339.6158,0,0.02,-1.573,0,0,0,159.6158,2.541727,2.129174,False
18,28.99299,Talking,Follow,Surprise,0.8834457,1.406138,-3.546676,42.01399,65.05871,353.6227,335.886,0,0.02,-1.573,0,0,0,155.886,2.568512,2.162377,False
18,29.24667,Talking,Follow,Surprise,0.9694888,1.415982,-3.477868,39.2142,42.3217,351.8002,333.026,0,0.02,-1.573,0,0,0,153.026,2.552881,2.137389,False
18,29.51181,Talking,Follow,Surprise,1.019167,1.428526,-3.301212,27.75175,22.04059,358.2241,329.4712,0,0.02,-1.573,0,0,0,149.4712,2.4514,2.006344,False
18,29.77667,Talking,Follow,Surprise,1.033127,1.405744,-3.1487,36.78708,27.96723,354.4605,326.7487,0,0.02,-1.573,0,0,0,146.7487,2.338903,1.884192,False
18,30.04552,Talking,Follow,Surprise,1.092153,1.396404,-3.047321,46.04685,39.60691,355.5372,323.4695,0,0.02,-1.573,0,0,0,143.4695,2.293667,1.83478,False
18,30.30803,Talking,Follow,Surprise,1.204932,1.381775,-2.979285,48.10107,38.06172,355.7244,319.4094,0,0.02,-1.573,0,0,0,139.4094,2.29868,1.85189,False
18,30.59351,Talking,Follow,Surprise,1.377916,1.394438,-2.924685,46.00908,32.27868,358.5432,314.4494,0,0.02,-1.573,0,0,0,134.4494,2.369554,1.930208,False
18,30.87366,Talking,Follow,Surprise,1.44974,1.398664,-2.870282,46.90197,24.46046,355.466,311.8234,0,0.02,-1.573,0,0,0,131.8234,2.384408,1.945427,False
18,31.14008,Talking,Follow,Surprise,1.45969,1.428264,-2.778483,32.30621,10.32684,359.2254,309.5516,0,0.02,-1.573,0,0,0,129.5516,2.359468,1.893115,False
18,31.41025,Talking,Follow,Surprise,1.465021,1.412199,-2.762664,40.98009,16.58636,355.3989,309.0782,0,0.02,-1.573,0,0,0,129.0782,2.345167,1.887217,False
18,31.68022,Talking,Follow,Surprise,1.514161,1.395642,-2.735175,48.39758,23.022,356.3864,307.5076,0,0.02,-1.573,0,0,0,127.5076,2.352812,1.908752,False
18,31.93465,Talking,Follow,Surprise,1.575801,1.40033,-2.661713,45.56712,12.55284,356.2655,304.6404,0,0.02,-1.573,0,0,0,124.6404,2.360881,1.915318,False
18,32.21875,Talking,Follow,Surprise,1.586738,1.407193,-2.512479,41.42498,4.450952,356.7071,300.629,0,0.02,-1.573,0,0,0,120.629,2.307523,1.844006,False
18,32.47365,Talking,Follow,Surprise,1.540801,1.409307,-2.317081,40.07729,6.446442,357.165,295.7767,0,0.02,-1.573,0,0,0,115.7767,2.204064,1.711059,False
18,32.72608,Talking,Follow,Surprise,1.517393,1.425786,-2.1277,40.50899,9.351232,356.6255,290.0804,0,0.02,-1.573,0,0,0,110.0804,2.14159,1.615604,False
18,32.97757,Talking,Follow,Surprise,1.530711,1.408512,-1.938386,40.17051,5.49618,357.078,283.4255,0,0.02,-1.573,0,0,0,103.4255,2.098702,1.573716,False
18,33.22879,Talking,Follow,Surprise,1.567676,1.442609,-1.704832,31.00116,355.6811,358.4593,274.8069,0,0.02,-1.573,0,0,0,94.80691,2.121039,1.57321,False
18,33.47922,Talking,Follow,Surprise,1.581857,1.450714,-1.502417,32.12899,353.2449,358.0233,267.4452,0,0.02,-1.573,0,0,0,87.44515,2.134056,1.583431,False
18,33.75884,Talking,Follow,Surprise,1.565141,1.41032,-1.266805,38.97816,352.9681,355.1125,258.9308,0,0.02,-1.573,0,0,0,78.93082,2.115753,1.594811,False
18,34.03569,Talking,Follow,Surprise,1.536059,1.420461,-1.047728,44.516,353.1582,355.0622,251.1213,0,0.02,-1.573,0,0,0,71.12132,2.143987,1.623388,False
18,34.28836,Talking,Follow,Surprise,1.497549,1.4039,-0.8430574,41.51136,337.4097,355.153,244.0142,0,0.02,-1.573,0,0,0,64.01424,2.16579,1.665974,False
18,34.58019,Talking,Follow,Surprise,1.388531,1.417022,-0.6689537,40.87118,323.0085,355.9507,236.9326,0,0.02,-1.573,0,0,0,56.9326,2.167253,1.6569,False
18,34.84296,Talking,Follow,Surprise,1.193607,1.393186,-0.5130079,41.22319,323.779,357.2209,228.3931,0,0.02,-1.573,0,0,0,48.39306,2.105688,1.596333,False
18,35.1085,Talking,Follow,Surprise,0.9898818,1.417608,-0.3483906,41.96624,330.0485,357.3112,218.9495,0,0.02,-1.573,0,0,0,38.94946,2.105431,1.574654,False
18,35.38684,Talking,Follow,Surprise,0.8488701,1.408458,-0.1670296,40.1993,331.6411,356.9198,211.1219,0,0.02,-1.573,0,0,0,31.12194,2.150616,1.642356,False
18,35.6634,Talking,Follow,Surprise,0.7360752,1.443834,0.05644405,30.70577,329.4406,356.5031,204.3103,0,0.02,-1.573,0,0,0,24.31031,2.285651,1.787986,False
