id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
11,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
11,0.2661652,Talking,Avert,Joy,-0.2129622,1.112158,2.164407,12.20392,268.3833,3.566608,176.7387,0,0.02,-1.573,0,0,0,356.7387,3.899535,3.74347,False
11,0.5346786,Talking,Avert,Joy,-0.2335808,1.125981,2.160806,37.6317,276.6869,0.9452535,176.4203,0,0.02,-1.573,0,0,0,356.4203,3.901161,3.741105,False
11,0.7849935,Talking,Avert,Joy,-0.2434825,1.165551,2.16206,45.0423,290.6813,4.361117,176.2703,0,0.02,-1.573,0,0,0,356.2703,3.914364,3.742988,False
11,1.038749,Talking,Avert,Joy,-0.2699341,1.258976,2.120898,41.83142,291.3905,359.5465,175.8205,0,0.02,-1.573,0,0,0,355.8205,3.905484,3.703748,False
11,1.293629,Talking,Avert,Joy,-0.2477515,1.357038,2.094987,43.24097,306.9606,3.196488,176.1359,0,0.02,-1.573,0,0,0,356.1359,3.911928,3.676345,False
11,1.552353,Talking,Avert,Joy,-0.2095186,1.46107,2.074321,51.59047,311.9442,350.9445,176.7123,0,0.02,-1.573,0,0,0,356.7123,3.92728,3.653334,False
11,1.812952,Talking,Avert,Joy,-0.2071186,1.534057,2.062562,43.82913,317.9586,0.3073032,176.7394,0,0.02,-1.573,0,0,0,356.7394,3.943675,3.641457,False
11,2.069651,Talking,Avert,Joy,-0.2497071,1.543402,2.054844,39.8379,308.7755,4.221773,176.0625,0,0.02,-1.573,0,0,0,356.0625,3.942634,3.636428,False
11,2.333803,Talking,Avert,Joy,-0.3244401,1.538703,1.997791,33.88375,288.7018,13.67486,174.8084,0,0.02,-1.573,0,0,0,354.8084,3.893876,3.5855,False
11,2.593865,Talking,Avert,Joy,-0.2845504,1.545053,1.939971,33.77503,283.4741,17.66897,175.3692,0,0.02,-1.573,0,0,0,355.3692,3.840277,3.524477,False
11,2.860327,Talking,Avert,Joy,-0.2668402,1.533707,1.888135,31.52685,285.1283,26.05758,175.5914,0,0.02,-1.573,0,0,0,355.5914,3.787079,3.471405,False
11,3.128096,Talking,Avert,Joy,-0.2716467,1.497813,1.843048,36.43174,289.993,30.03575,175.4534,0,0.02,-1.573,0,0,0,355.4534,3.731904,3.426831,False
11,3.392442,Talking,Avert,Joy,-0.2708844,1.475875,1.816141,39.90177,293.017,34.27023,175.4302,0,0.02,-1.573,0,0,0,355.4302,3.698544,3.39995,False
11,3.650831,Talking,Avert,Joy,-0.2902056,1.468952,1.820333,44.47605,297.2289,38.27062,175.1118,0,0.02,-1.573,0,0,0,355.1118,3.701134,3.40572,False
11,3.90185,Talking,Avert,Joy,-0.2973498,1.469597,1.825021,47.57396,304.1915,42.61787,174.999,0,0.02,-1.573,0,0,0,354.999,3.706251,3.411006,False
11,4.165318,Talking,Avert,Joy,-0.3179125,1.46473,1.789254,44.25498,316.92,49.80886,174.5985,0,0.02,-1.573,0,0,0,354.5985,3.673291,3.37725,False
11,4.428659,Talking,Avert,Joy,-0.4076842,1.454131,1.718077,47.08484,315.5115,46.96702,172.9384,0,0.02,-1.573,0,0,0,352.9384,3.61305,3.316232,False
11,4.695053,Talking,Avert,Joy,-0.5254976,1.468507,1.654095,49.90281,304.1368,42.97311,170.7512,0,0.02,-1.573,0,0,0,350.7512,3.576096,3.269601,False
11,4.94832,Talking,Avert,Joy,-0.6111062,1.466767,1.626669,53.42722,306.0161,48.12984,169.1873,0,0.02,-1.573,0,0,0,349.1873,3.564333,3.257504,False
