id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
25,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
25,0.2658761,Talking,Avert,Fear,-0.3185616,1.138151,1.639654,2.763464,147.0445,354.8455,174.3372,0,0.02,-1.573,0,0,0,354.3372,3.416561,3.22841,False
25,0.5225642,Talking,Avert,Fear,-0.3186364,1.138006,1.639277,2.760539,147.0429,354.8458,174.3352,0,0.02,-1.573,0,0,0,354.3352,3.416166,3.228042,False
25,0.7741172,Talking,Avert,Fear,-0.318682,1.137928,1.639299,2.759944,147.0388,354.8603,174.3344,0,0.02,-1.573,0,0,0,354.3344,3.416165,3.228068,False
25,1.045384,Talking,Avert,Fear,-0.31879,1.138098,1.639143,2.770359,147.0453,354.8217,174.3322,0,0.02,-1.573,0,0,0,354.3322,3.416084,3.227923,False
25,1.317913,Talking,Avert,Fear,-0.3187356,1.1379,1.639026,2.764818,147.0504,354.8339,174.333,0,0.02,-1.573,0,0,0,354.333,3.415904,3.227801,False
25,1.593791,Talking,Avert,Fear,-0.3185199,1.137866,1.638919,2.774273,147.0521,354.8434,174.3366,0,0.02,-1.573,0,0,0,354.3366,3.415773,3.227674,False
25,1.862895,Talking,Avert,Fear,-0.3185263,1.137864,1.63889,2.780174,147.0538,354.8585,174.3364,0,0.02,-1.573,0,0,0,354.3364,3.415745,3.227646,False
25,2.113619,Talking,Avert,Fear,-0.318575,1.137776,1.638792,2.767361,147.0622,354.845,174.3354,0,0.02,-1.573,0,0,0,354.3354,3.415629,3.227553,False
25,2.384479,Talking,Avert,Fear,-0.318598,1.137922,1.6392,2.770529,147.0472,354.8486,174.3357,0,0.02,-1.573,0,0,0,354.3357,3.416062,3.227961,False
