id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
15,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
15,0.2643928,Talking,Avert,Fear,0.5398227,1.067815,2.62344,2.518232,275.7687,1.804489,187.3302,0,0.02,-1.573,0,0,0,7.330173,4.358834,4.231019,False
15,0.5155638,Talking,Avert,Fear,0.542753,1.069479,2.630639,2.536407,275.7622,1.82951,187.357,0,0.02,-1.573,0,0,0,7.357044,4.366528,4.238533,False
15,0.7780903,Talking,Avert,Fear,0.541559,1.070032,2.628008,2.53467,275.7484,1.855945,187.3456,0,0.02,-1.573,0,0,0,7.345584,4.36398,4.235771,False
15,1.030119,Talking,Avert,Fear,0.5400082,1.067912,2.624842,2.511105,275.7689,1.839906,187.3302,0,0.02,-1.573,0,0,0,7.330242,4.36023,4.232433,False
15,1.292894,Talking,Avert,Fear,0.5410864,1.069402,2.623898,2.378981,275.4022,1.615909,187.3464,0,0.02,-1.573,0,0,0,7.346351,4.359814,4.231635,False
15,1.554008,Talking,Avert,Fear,0.5414562,1.069285,2.629308,2.154763,275.4435,1.172628,187.3419,0,0.02,-1.573,0,0,0,7.341956,4.365039,4.237048,False
15,1.813468,Talking,Avert,Fear,0.5348958,1.075655,2.629578,2.375222,275.5999,0.1864971,187.2535,0,0.02,-1.573,0,0,0,7.253494,4.366026,4.236481,False
15,2.066566,Talking,Avert,Fear,0.4877289,1.164796,2.611595,9.31353,279.2503,10.8056,186.648,0,0.02,-1.573,0,0,0,6.648025,4.365692,4.212922,False
15,2.319854,Talking,Avert,Fear,0.4144939,1.22575,2.538254,17.77141,285.4724,14.96712,185.7571,0,0.02,-1.573,0,0,0,5.757069,4.304422,4.132096,False
15,2.580796,Talking,Avert,Fear,0.3225572,1.211753,2.481843,19.49359,291.4164,11.87533,184.5482,0,0.02,-1.573,0,0,0,4.548224,4.23864,4.067652,False
15,2.838708,Talking,Avert,Fear,0.1689487,1.132524,2.444131,3.87408,291.8687,356.5966,182.4083,0,0.02,-1.573,0,0,0,2.408273,4.171762,4.020682,False
15,3.103196,Talking,Avert,Fear,0.0049415,1.095077,2.440541,356.8176,293.4179,357.0451,180.0705,0,0.02,-1.573,0,0,0,0.07054295,4.155035,4.013543,False
15,3.360299,Talking,Avert,Fear,-0.06786783,1.066143,2.441486,9.789515,286.8885,358.1064,179.0315,0,0.02,-1.573,0,0,0,359.0315,4.149111,4.01506,False
15,3.626028,Talking,Avert,Fear,-0.1563911,1.041914,2.460903,16.50358,271.4476,353.8414,177.7798,0,0.02,-1.573,0,0,0,357.7798,4.16427,4.036933,False
15,3.892695,Talking,Avert,Fear,-0.2468451,1.058892,2.540342,21.19968,257.5792,353.9796,176.5658,0,0.02,-1.573,0,0,0,356.5658,4.249683,4.120742,False
15,4.147576,Talking,Avert,Fear,-0.3585613,1.080437,2.641639,30.13824,263.4875,2.44228,175.1373,0,0.02,-1.573,0,0,0,355.1373,4.360765,4.229864,False
