id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
0,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
0,0.3092,Talking,Follow,Joy,-0.7523924,1.537388,2.060757,15.10888,190.1546,1.017343,168.3019,0,0.02,-1.573,0,0,0,348.3018,4.009083,3.710833,False
0,0.5895289,Talking,Follow,Joy,-0.7466392,1.532707,2.051587,17.09748,186.8743,1.550875,168.3603,0,0.02,-1.573,0,0,0,348.3603,3.997922,3.700689,False
0,0.8420136,Talking,Follow,Joy,-0.7182724,1.526328,2.039995,20.13019,171.9553,1.340206,168.7561,0,0.02,-1.573,0,0,0,348.756,3.979784,3.683701,False
0,1.129957,Talking,Follow,Joy,-0.688695,1.512523,2.049877,25.18416,154.5379,359.0915,169.2367,0,0.02,-1.573,0,0,0,349.2367,3.978337,3.687756,False
0,1.383897,Talking,Follow,Joy,-0.6974462,1.509072,2.053147,25.47119,157.5149,359.5858,169.1128,0,0.02,-1.573,0,0,0,349.1128,3.981546,3.692611,False
0,1.637531,Talking,Follow,Joy,-0.7113982,1.509642,2.052976,25.33822,163.2772,359.7486,168.8998,0,0.02,-1.573,0,0,0,348.8998,3.984071,3.695103,False
0,1.927665,Talking,Follow,Joy,-0.7306803,1.535547,2.007798,19.21672,174.5664,4.528593,168.4668,0,0.02,-1.573,0,0,0,348.4668,3.956374,3.654588,False
0,2.198422,Talking,Follow,Joy,-0.7779499,1.508501,1.972194,25.57067,180.0334,0.7470908,167.6233,0,0.02,-1.573,0,0,0,347.6233,3.922912,3.629546,False
0,2.478409,Talking,Follow,Joy,-0.8662914,1.443383,1.936552,36.83353,190.2743,359.4779,166.1344,0,0.02,-1.573,0,0,0,346.1344,3.885027,3.614888,False
0,2.755055,Talking,Follow,Joy,-0.9008499,1.404607,1.902453,43.34631,190.4125,355.316,165.4685,0,0.02,-1.573,0,0,0,345.4685,3.848043,3.590307,False
0,3.006791,Talking,Follow,Joy,-0.8724496,1.401495,1.845962,44.57624,191.4417,356.1977,165.6848,0,0.02,-1.573,0,0,0,345.6848,3.789328,3.528523,False
0,3.28358,Talking,Follow,Joy,-0.8575466,1.419686,1.813915,42.63194,191.2547,356.9079,165.7917,0,0.02,-1.573,0,0,0,345.7917,3.763735,3.493791,False
0,3.53424,Talking,Follow,Joy,-0.8687688,1.469365,1.84216,33.99353,190.2591,358.5018,165.7275,0,0.02,-1.573,0,0,0,345.7275,3.810345,3.523929,False
0,3.7861,Talking,Follow,Joy,-0.8621333,1.499199,1.895689,27.56346,191.9523,357.2448,166.0421,0,0.02,-1.573,0,0,0,346.0421,3.868218,3.574224,False
0,4.063347,Talking,Follow,Joy,-0.8459361,1.51676,1.903664,21.24183,188.3532,358.5912,166.3246,0,0.02,-1.573,0,0,0,346.3246,3.878542,3.5781,False
0,4.342061,Talking,Follow,Joy,-0.8378865,1.520979,1.905421,19.85911,186.0707,359.5093,166.4565,0,0.02,-1.573,0,0,0,346.4565,3.88,3.577914,False
0,4.593522,Talking,Follow,Joy,-0.8380151,1.524507,1.912841,17.99957,186.723,359.4041,166.4823,0,0.02,-1.573,0,0,0,346.4823,3.888045,3.585158,False
0,4.844396,Talking,Follow,Joy,-0.8406907,1.529343,1.919277,16.36758,187.7567,359.3174,166.4648,0,0.02,-1.573,0,0,0,346.4648,3.896264,3.592041,False
0,5.120975,Talking,Follow,Joy,-0.002618933,1.531115,1.79923,15.93099,179.8853,358.5459,179.9555,0,0.02,-1.573,0,0,0,359.9555,3.695323,3.372231,False
0,5.371864,Talking,Follow,Joy,-0.003970799,1.531643,1.796692,16.01102,180.1174,358.2903,179.9325,0,0.02,-1.573,0,0,0,359.9325,3.693224,3.369695,False
0,5.649903,Talking,Follow,Joy,-0.004447103,1.531271,1.796501,16.50928,181.255,358.1194,179.9244,0,0.02,-1.573,0,0,0,359.9244,3.692898,3.369504,False
0,5.903185,Talking,Follow,Joy,-0.007913303,1.53062,1.799023,17.26836,184.0441,358.0211,179.8656,0,0.02,-1.573,0,0,0,359.8655,3.694939,3.372032,False
0,6.18153,Talking,Follow,Joy,-0.0041472,1.530301,1.804461,16.59608,183.5552,358.0838,179.9296,0,0.02,-1.573,0,0,0,359.9297,3.699767,3.377464,False
0,6.431879,Talking,Follow,Joy,-0.0007448828,1.531909,1.807955,16.22857,182.6891,358.2628,179.9874,0,0.02,-1.573,0,0,0,359.9874,3.70361,3.380955,False
0,6.682012,Talking,Follow,Joy,0.002045185,1.532048,1.807964,15.95294,182.4791,358.5597,180.0347,0,0.02,-1.573,0,0,0,0.03465889,3.703676,3.380965,False
0,6.932577,Talking,Follow,Joy,0.001576784,1.532141,1.799112,15.88415,179.8056,358.6634,180.0268,0,0.02,-1.573,0,0,0,0.02679124,3.695634,3.372113,False
0,7.211562,Talking,Follow,Joy,0.004307031,1.551594,1.783985,13.28422,179.933,359.9534,180.0735,0,0.02,-1.573,0,0,0,0.07351077,3.689871,3.356988,False
