id,TimeStamp,Task,Gaze_behaviour,Facial_expression,P_x,P_y,P_z,P_ox,P_oy,P_oz,P_ro,D_x,D_y,D_z,D_ox,D_oy,D_oz,D_ro,distance3D,distance2D,started
6,0,Talking,Avert,,0,0,1.8,0,180,0,180,0,0.02,-1.573,0,0,0,0,3.373059,3.373,False
6,0.2659334,Talking,Follow,Sad,1.530561,1.122015,1.835253,2.81735,317.6415,5.848372,204.1837,0,0.02,-1.573,0,0,0,24.18365,3.895285,3.736149,False
6,0.531512,Talking,Follow,Sad,1.530864,1.121764,1.835603,2.815202,317.6411,5.856061,204.1857,0,0.02,-1.573,0,0,0,24.18569,3.895639,3.736592,False
6,0.79384,Talking,Follow,Sad,1.530668,1.121834,1.835458,2.813632,317.646,5.859427,204.1839,0,0.02,-1.573,0,0,0,24.18387,3.895455,3.73638,False
6,1.055533,Talking,Follow,Sad,1.530497,1.122033,1.835047,2.82081,317.6461,5.852859,204.184,0,0.02,-1.573,0,0,0,24.18405,3.895084,3.735934,False
6,1.317872,Talking,Follow,Sad,1.530745,1.121803,1.8356,2.818099,317.6489,5.85966,204.1841,0,0.02,-1.573,0,0,0,24.18405,3.895601,3.736541,False
6,1.581619,Talking,Follow,Sad,1.530461,1.121957,1.835176,2.818943,317.6476,5.857942,204.1827,0,0.02,-1.573,0,0,0,24.18274,3.895161,3.736037,False
6,1.836341,Talking,Follow,Sad,1.530819,1.121717,1.835691,2.811367,317.6475,5.86089,204.1845,0,0.02,-1.573,0,0,0,24.18452,3.895685,3.736653,False
6,2.094184,Talking,Follow,Sad,1.530472,1.1221,1.834992,2.817456,317.6469,5.849438,204.1841,0,0.02,-1.573,0,0,0,24.18405,3.895045,3.735873,False
6,2.351215,Talking,Follow,Sad,1.530708,1.121902,1.83536,2.815422,317.6459,5.85085,204.185,0,0.02,-1.573,0,0,0,24.18504,3.895404,3.736306,False
6,2.615705,Talking,Follow,Sad,1.530745,1.121779,1.835565,2.813172,317.6512,5.854336,204.1843,0,0.02,-1.573,0,0,0,24.18426,3.895563,3.736508,False
6,2.87176,Talking,Follow,Sad,1.530662,1.12191,1.835315,2.817485,317.6508,5.855866,204.1847,0,0.02,-1.573,0,0,0,24.18468,3.895349,3.736246,False
6,3.128914,Talking,Follow,Sad,1.530631,1.121895,1.83539,2.821951,317.6542,5.853209,204.1838,0,0.02,-1.573,0,0,0,24.18378,3.895398,3.736302,False
6,3.39302,Talking,Follow,Sad,1.530668,1.121911,1.835495,2.818359,317.6547,5.850835,204.1836,0,0.02,-1.573,0,0,0,24.18363,3.895509,3.736413,False
6,3.655438,Talking,Follow,Sad,1.530629,1.12183,1.835447,2.802143,317.6575,5.858696,204.1834,0,0.02,-1.573,0,0,0,24.18339,3.895429,3.736353,False
6,3.915726,Talking,Follow,Sad,1.531117,1.121578,1.835774,2.797712,317.6568,5.863147,204.1882,0,0.02,-1.573,0,0,0,24.18816,3.895836,3.736852,False
6,4.179406,Talking,Follow,Sad,1.530891,1.121618,1.83566,2.801986,317.6631,5.866809,204.1857,0,0.02,-1.573,0,0,0,24.18571,3.895658,3.736655,False
6,4.43996,Talking,Follow,Sad,1.530443,1.122008,1.835256,2.808173,317.6782,5.855235,204.182,0,0.02,-1.573,0,0,0,24.18199,3.895238,3.736103,False
6,4.697986,Talking,Follow,Sad,1.530215,1.122545,1.834358,2.823083,317.66,5.76609,204.1844,0,0.02,-1.573,0,0,0,24.18444,3.894516,3.73519,False
6,4.955362,Talking,Follow,Sad,1.530506,1.122655,1.834619,2.804962,317.6532,5.798769,204.1869,0,0.02,-1.573,0,0,0,24.18687,3.894889,3.735547,False
6,5.219356,Talking,Follow,Sad,1.53092,1.122066,1.835536,2.865286,317.6234,5.613748,204.1869,0,0.02,-1.573,0,0,0,24.1869,3.895688,3.736554,False
6,5.481349,Talking,Follow,Sad,1.530635,1.122432,1.835092,2.924831,317.8775,5.416066,204.1857,0,0.02,-1.573,0,0,0,24.18569,3.895291,3.736032,False
6,5.744501,Talking,Follow,Sad,1.530618,1.12149,1.836948,3.655988,318.4081,4.430732,204.1738,0,0.02,-1.573,0,0,0,24.17381,3.896642,3.737718,False
6,6.007302,Talking,Follow,Sad,1.535036,1.150248,1.825499,10.14313,315.8123,2.616316,204.3078,0,0.02,-1.573,0,0,0,24.30778,3.896613,3.729092,False
6,6.261452,Talking,Follow,Sad,1.536426,1.281431,1.782202,10.22581,315.8015,4.773052,204.6042,0,0.02,-1.573,0,0,0,24.60416,3.899896,3.690255,False
6,6.530643,Talking,Follow,Sad,1.492703,1.351562,1.772003,7.004548,344.3125,10.86927,204.0488,0,0.02,-1.573,0,0,0,24.04876,3.897469,3.662951,False
6,6.792994,Talking,Follow,Sad,1.367941,1.367522,1.741716,4.427632,352.4499,2.179696,202.4253,0,0.02,-1.573,0,0,0,22.42532,3.83072,3.585889,False
6,7.050273,Talking,Follow,Sad,1.218653,1.312947,1.715107,11.57255,326.5209,358.8595,200.3359,0,0.02,-1.573,0,0,0,20.33594,3.737443,3.506674,False
6,7.316768,Talking,Follow,Sad,1.074787,1.283619,1.691101,28.78227,304.3568,353.3632,198.2254,0,0.02,-1.573,0,0,0,18.22542,3.661455,3.436499,False
6,7.586437,Talking,Follow,Sad,1.031491,1.275917,1.71121,69.53428,301.2151,337.0286,197.4362,0,0.02,-1.573,0,0,0,17.43624,3.664333,3.442384,False
6,7.836774,Talking,Follow,Sad,1.093415,1.271075,1.696296,72.74969,305.8062,321.7097,198.4925,0,0.02,-1.573,0,0,0,18.4925,3.667293,3.447296,False
6,8.103395,Talking,Follow,Sad,1.172042,1.28268,1.652312,64.01769,322.8977,331.6958,199.9706,0,0.02,-1.573,0,0,0,19.97057,3.656594,3.431664,False
6,8.356619,Talking,Follow,Sad,1.241142,1.291965,1.638382,58.20673,318.5602,337.6562,201.1306,0,0.02,-1.573,0,0,0,21.13063,3.670327,3.442878,False
6,8.606949,Talking,Follow,Sad,1.273846,1.302121,1.655028,37.58078,302.1356,346.9158,201.5352,0,0.02,-1.573,0,0,0,21.53521,3.699551,3.470281,False
6,8.882743,Talking,Follow,Sad,1.268848,1.311056,1.667195,30.41827,285.8447,347.738,201.3851,0,0.02,-1.573,0,0,0,21.38512,3.711558,3.479776,False
6,9.159022,Talking,Follow,Sad,1.259213,1.319926,1.667218,28.72765,275.4096,350.1048,201.2371,0,0.02,-1.573,0,0,0,21.23712,3.711393,3.476296,False
6,9.410682,Talking,Follow,Sad,1.256407,1.311729,1.643593,24.12132,267.0992,349.987,201.3357,0,0.02,-1.573,0,0,0,21.33571,3.686949,3.453264,False
6,9.687181,Talking,Follow,Sad,1.254769,1.30237,1.624972,25.11333,263.0581,349.3573,201.4232,0,0.02,-1.573,0,0,0,21.42326,3.666871,3.435327,False
6,9.937922,Talking,Follow,Sad,1.246245,1.310173,1.626573,24.58293,262.6567,351.6599,201.2811,0,0.02,-1.573,0,0,0,21.2811,3.668097,3.433714,False
6,10.20076,Talking,Follow,Sad,1.247953,1.321155,1.654118,26.75338,271.2569,355.2296,201.1419,0,0.02,-1.573,0,0,0,21.1419,3.696577,3.460011,False
6,10.45155,Talking,Follow,Sad,1.240448,1.337196,1.677467,28.64275,282.2142,0.4148539,200.8879,0,0.02,-1.573,0,0,0,20.88794,3.720114,3.479116,False
6,10.72819,Talking,Follow,Sad,1.148235,1.361505,1.661869,26.13944,283.3675,4.23147,199.5426,0,0.02,-1.573,0,0,0,19.5426,3.685439,3.432611,False
6,10.99271,Talking,Follow,Sad,1.021201,1.446429,1.606558,17.44241,273.8773,7.604284,197.8058,0,0.02,-1.573,0,0,0,17.80582,3.63141,3.339526,False
6,11.24528,Talking,Follow,Sad,0.9510697,1.517658,1.58066,14.08313,266.529,4.801954,196.7821,0,0.02,-1.573,0,0,0,16.78208,3.618437,3.29395,False
6,11.51493,Talking,Follow,Sad,0.8588849,1.536185,1.676592,12.46107,249.1623,1.646801,194.805,0,0.02,-1.573,0,0,0,14.80504,3.687323,3.36118,False
6,11.77605,Talking,Follow,Sad,0.7751452,1.549211,1.818765,11.68414,239.0216,5.79211,192.8732,0,0.02,-1.573,0,0,0,12.87315,3.800448,3.479213,False
6,12.05332,Talking,Follow,Sad,0.7043127,1.557206,1.904687,14.92291,229.6549,1.381135,191.4489,0,0.02,-1.573,0,0,0,11.44888,3.866958,3.54829,False
6,12.32835,Talking,Follow,Sad,0.6144652,1.540475,1.921117,14.79696,216.3249,1.553168,189.9739,0,0.02,-1.573,0,0,0,9.973887,3.859827,3.547734,False
6,12.57867,Talking,Follow,Sad,0.5502577,1.566224,1.937308,9.56035,199.8491,9.698985,188.9089,0,0.02,-1.573,0,0,0,8.908894,3.87503,3.553174,False
6,12.849,Talking,Follow,Sad,0.4739289,1.586688,1.938092,0.5032582,174.8604,8.813601,187.6873,0,0.02,-1.573,0,0,0,7.687349,3.873873,3.542933,False
6,13.10679,Talking,Follow,Sad,0.3759174,1.606046,1.985105,358.6302,164.6908,7.798392,186.031,0,0.02,-1.573,0,0,0,6.030985,3.91369,3.577908,False
6,13.35823,Talking,Follow,Sad,0.3134336,1.586767,2.01518,0.2114742,167.9516,5.414147,184.9922,0,0.02,-1.573,0,0,0,4.992213,3.927853,3.601843,False
6,13.61378,Talking,Follow,Sad,0.2899689,1.548434,2.023857,5.27301,173.6081,359.088,184.6091,0,0.02,-1.573,0,0,0,4.609064,3.918873,3.608526,False
6,13.86978,Talking,Follow,Sad,0.312799,1.559731,2.01849,9.179347,179.3734,0.1903172,184.9776,0,0.02,-1.573,0,0,0,4.977588,3.920129,3.605085,False
6,14.13291,Talking,Follow,Sad,0.3215943,1.571894,2.021985,10.70257,181.9934,0.8228945,185.1119,0,0.02,-1.573,0,0,0,5.111866,3.928832,3.609341,False
